scenario,law,section_number,section_title,section_text,punishment,tags,intent_label
A loan app leaked my contact list and threatened me,CERT-IN,Log-1,180-day log retention,Organizations must keep secure logs.,,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A loan app leaked my contact list and threatened me,IT Rules 2021,Rule 7,Non-observance penalties,Intermediaries lose safe-harbor protections.,,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
My private pictures were leaked on WhatsApp,IT Act 2000,66D,Cheating by personation using computer resources,Online impersonation to cheat.,3 years jail + fine,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A fake profile was created using my photos on PhonePe,IPC,354A,Sexual harassment,Online sexual harassment.,3 years jail,cyber_identity_theft,CYBER_IDENTITY_THEFT
A loan app leaked my contact list and threatened me,IPC,468,Forgery for cheating,Digital forgery for cheating.,7 years jail,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A loan app leaked my contact list and threatened me,IT Act 2000,67A,Sexually explicit content,Publishing sexually explicit content online.,5 years jail + fine,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone posted obscene content using my YouTube account,IT Act 2000,67B,Child sexual content,Publishing child sexual content.,7 years jail + fine,general_cyber_query,GENERAL_CYBER_QUERY
Someone hacked my Instagram account and changed my password,DPDP Act 2023,8,Data fiduciary obligations,"Ensure security, prevent breaches.",Financial penalties,cyber_hacking,CYBER_HACKING
Ransomware encrypted all files on my Google Pay,IPC,354A,Sexual harassment,Online sexual harassment.,3 years jail,cyber_fraud,CYBER_FRAUD
A scammer impersonated a Telegram officer and took my details,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,cyber_fraud,CYBER_FRAUD
My private pictures were leaked on YouTube,IT Act 2000,66F,Cyber terrorism,Threatening national security using computer resources.,Life imprisonment,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone is stalking me online using PhonePe,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,cyber_harassment,CYBER_HARASSMENT
I received a phishing link pretending to be Google Pay,DPDP Act 2023,4,Consent for data processing,Data must be processed only with free consent.,Penalties up to ₹250 crore,cyber_fraud,CYBER_FRAUD
Someone posted obscene content using my Paytm account,IPC,499,Defamation,Online defamatory posts.,2 years jail,cyber_fraud,CYBER_FRAUD
Someone hacked my LinkedIn account and changed my password,IT Rules 2021,Rule 3,Due diligence by intermediaries,Platforms must remove unlawful content.,,cyber_hacking,CYBER_HACKING
UPI payment fraud happened through Telegram,IPC,354D,Cyber stalking,Repeated online contact causing fear.,3 years jail,cyber_fraud,CYBER_FRAUD
UPI payment fraud happened through Google Pay,IT Act 2000,43,Penalty for damage to computer resources,Unauthorized access or damage to computer systems.,Up to ₹1 crore compensation,cyber_fraud,CYBER_FRAUD
A loan app leaked my contact list and threatened me,IT Act 2000,67A,Sexually explicit content,Publishing sexually explicit content online.,5 years jail + fine,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A scammer impersonated a Google Pay officer and took my details,IPC,469,Forgery for harming reputation,Creating fake online profiles.,3 years jail,cyber_fraud,CYBER_FRAUD
Someone is stalking me online using Telegram,IT Rules 2021,Rule 3,Due diligence by intermediaries,Platforms must remove unlawful content.,,cyber_harassment,CYBER_HARASSMENT
I received a phishing link pretending to be Google Pay,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,cyber_fraud,CYBER_FRAUD
Someone posted obscene content using my Instagram account,DPDP Act 2023,4,Consent for data processing,Data must be processed only with free consent.,Penalties up to ₹250 crore,general_cyber_query,GENERAL_CYBER_QUERY
Ransomware encrypted all files on my YouTube,IT Act 2000,67A,Sexually explicit content,Publishing sexually explicit content online.,5 years jail + fine,general_cyber_query,GENERAL_CYBER_QUERY
Someone posted obscene content using my Twitter account,IPC,354D,Cyber stalking,Repeated online contact causing fear.,3 years jail,general_cyber_query,GENERAL_CYBER_QUERY
A loan app leaked my contact list and threatened me,IPC,471,Using forged digital documents,Using forged digital IDs.,7 years jail,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A loan app leaked my contact list and threatened me,IT Rules 2021,Rule 4,Significant social media rules,Grievance officer and takedown timelines.,,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone hacked my Snapchat account and changed my password,IT Rules 2021,Rule 3,Due diligence by intermediaries,Platforms must remove unlawful content.,,cyber_hacking,CYBER_HACKING
Someone posted obscene content using my Google Pay account,IT Act 2000,66,Computer-related offences,Dishonest or fraudulent use of computer resources.,3 years jail + fine,cyber_fraud,CYBER_FRAUD
A loan app leaked my contact list and threatened me,IT Rules 2021,Rule 7,Non-observance penalties,Intermediaries lose safe-harbor protections.,,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
I received a phishing link pretending to be PhonePe,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,general_cyber_query,GENERAL_CYBER_QUERY
UPI payment fraud happened through Google Pay,DPDP Act 2023,9,Data principal rights,"Right to access, correction, erase data.",,cyber_fraud,CYBER_FRAUD
Someone posted obscene content using my Paytm account,IT Act 2000,66,Computer-related offences,Dishonest or fraudulent use of computer resources.,3 years jail + fine,cyber_fraud,CYBER_FRAUD
Ransomware encrypted all files on my Twitter,IPC,471,Using forged digital documents,Using forged digital IDs.,7 years jail,general_cyber_query,GENERAL_CYBER_QUERY
I received a phishing link pretending to be Paytm,IT Act 2000,66E,Violation of privacy,Capturing or transmitting private images.,3 years jail + fine,cyber_fraud,CYBER_FRAUD
A loan app leaked my contact list and threatened me,IPC,354A,Sexual harassment,Online sexual harassment.,3 years jail,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
My private pictures were leaked on LinkedIn,IPC,469,Forgery for harming reputation,Creating fake online profiles.,3 years jail,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone is stalking me online using Instagram,CERT-IN,Report-1,72-hour breach reporting,All cyber incidents must be reported.,,cyber_harassment,CYBER_HARASSMENT
UPI payment fraud happened through Google Pay,IPC,354D,Cyber stalking,Repeated online contact causing fear.,3 years jail,cyber_fraud,CYBER_FRAUD
A fake profile was created using my photos on WhatsApp,IT Rules 2021,Rule 3,Due diligence by intermediaries,Platforms must remove unlawful content.,,cyber_identity_theft,CYBER_IDENTITY_THEFT
A loan app leaked my contact list and threatened me,CERT-IN,Report-1,72-hour breach reporting,All cyber incidents must be reported.,,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A fake profile was created using my photos on YouTube,IT Act 2000,67,Obscene material online,Publishing or transmitting obscene content.,3 years jail + fine ₹5 lakh,cyber_identity_theft,CYBER_IDENTITY_THEFT
UPI payment fraud happened through Instagram,IT Act 2000,66C,Identity theft,Using another person's digital signatures or passwords.,3 years jail + fine ₹1 lakh,cyber_fraud,CYBER_FRAUD
My private pictures were leaked on PhonePe,IT Act 2000,66C,Identity theft,Using another person's digital signatures or passwords.,3 years jail + fine ₹1 lakh,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone hacked my Snapchat account and changed my password,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,cyber_hacking,CYBER_HACKING
UPI payment fraud happened through Facebook,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,cyber_fraud,CYBER_FRAUD
Someone posted obscene content using my Telegram account,IPC,420,Cheating,Online payment or UPI fraud.,7 years jail,general_cyber_query,GENERAL_CYBER_QUERY
Someone is stalking me online using PhonePe,CERT-IN,Log-1,180-day log retention,Organizations must keep secure logs.,,cyber_harassment,CYBER_HARASSMENT
Someone is stalking me online using Instagram,IT Act 2000,43,Penalty for damage to computer resources,Unauthorized access or damage to computer systems.,Up to ₹1 crore compensation,cyber_harassment,CYBER_HARASSMENT
Ransomware encrypted all files on my Paytm,IT Act 2000,66F,Cyber terrorism,Threatening national security using computer resources.,Life imprisonment,cyber_fraud,CYBER_FRAUD
My private pictures were leaked on Twitter,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
UPI payment fraud happened through YouTube,IT Rules 2021,Rule 3,Due diligence by intermediaries,Platforms must remove unlawful content.,,cyber_fraud,CYBER_FRAUD
Someone posted obscene content using my Telegram account,IT Rules 2021,Rule 7,Non-observance penalties,Intermediaries lose safe-harbor protections.,,general_cyber_query,GENERAL_CYBER_QUERY
A loan app leaked my contact list and threatened me,CERT-IN,Log-1,180-day log retention,Organizations must keep secure logs.,,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone hacked my Facebook account and changed my password,IPC,354A,Sexual harassment,Online sexual harassment.,3 years jail,cyber_hacking,CYBER_HACKING
UPI payment fraud happened through YouTube,IT Act 2000,66,Computer-related offences,Dishonest or fraudulent use of computer resources.,3 years jail + fine,cyber_fraud,CYBER_FRAUD
Someone posted obscene content using my LinkedIn account,DPDP Act 2023,8,Data fiduciary obligations,"Ensure security, prevent breaches.",Financial penalties,general_cyber_query,GENERAL_CYBER_QUERY
A loan app leaked my contact list and threatened me,DPDP Act 2023,8,Data fiduciary obligations,"Ensure security, prevent breaches.",Financial penalties,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A scammer impersonated a LinkedIn officer and took my details,IPC,354D,Cyber stalking,Repeated online contact causing fear.,3 years jail,cyber_fraud,CYBER_FRAUD
Someone is stalking me online using PhonePe,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,cyber_harassment,CYBER_HARASSMENT
UPI payment fraud happened through Facebook,IT Act 2000,67B,Child sexual content,Publishing child sexual content.,7 years jail + fine,cyber_fraud,CYBER_FRAUD
Ransomware encrypted all files on my WhatsApp,IPC,354A,Sexual harassment,Online sexual harassment.,3 years jail,general_cyber_query,GENERAL_CYBER_QUERY
Someone posted obscene content using my Facebook account,IPC,471,Using forged digital documents,Using forged digital IDs.,7 years jail,general_cyber_query,GENERAL_CYBER_QUERY
My private pictures were leaked on PhonePe,IT Rules 2021,Rule 4,Significant social media rules,Grievance officer and takedown timelines.,,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A scammer impersonated a Facebook officer and took my details,IT Act 2000,66E,Violation of privacy,Capturing or transmitting private images.,3 years jail + fine,cyber_fraud,CYBER_FRAUD
I received a phishing link pretending to be Instagram,DPDP Act 2023,8,Data fiduciary obligations,"Ensure security, prevent breaches.",Financial penalties,general_cyber_query,GENERAL_CYBER_QUERY
Ransomware encrypted all files on my LinkedIn,CERT-IN,Report-1,72-hour breach reporting,All cyber incidents must be reported.,,general_cyber_query,GENERAL_CYBER_QUERY
Someone is stalking me online using Paytm,IT Rules 2021,Rule 3,Due diligence by intermediaries,Platforms must remove unlawful content.,,cyber_fraud,CYBER_FRAUD
Ransomware encrypted all files on my PhonePe,IT Act 2000,67,Obscene material online,Publishing or transmitting obscene content.,3 years jail + fine ₹5 lakh,general_cyber_query,GENERAL_CYBER_QUERY
UPI payment fraud happened through Instagram,DPDP Act 2023,9,Data principal rights,"Right to access, correction, erase data.",,cyber_fraud,CYBER_FRAUD
My private pictures were leaked on LinkedIn,IT Act 2000,67B,Child sexual content,Publishing child sexual content.,7 years jail + fine,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone hacked my YouTube account and changed my password,IT Rules 2021,Rule 4,Significant social media rules,Grievance officer and takedown timelines.,,cyber_hacking,CYBER_HACKING
Someone is stalking me online using Paytm,IT Act 2000,66C,Identity theft,Using another person's digital signatures or passwords.,3 years jail + fine ₹1 lakh,cyber_fraud,CYBER_FRAUD
Ransomware encrypted all files on my PhonePe,IT Act 2000,66D,Cheating by personation using computer resources,Online impersonation to cheat.,3 years jail + fine,general_cyber_query,GENERAL_CYBER_QUERY
My private pictures were leaked on Facebook,IPC,354A,Sexual harassment,Online sexual harassment.,3 years jail,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
I received a phishing link pretending to be LinkedIn,IT Act 2000,43,Penalty for damage to computer resources,Unauthorized access or damage to computer systems.,Up to ₹1 crore compensation,general_cyber_query,GENERAL_CYBER_QUERY
Ransomware encrypted all files on my Telegram,IT Rules 2021,Rule 4,Significant social media rules,Grievance officer and takedown timelines.,,general_cyber_query,GENERAL_CYBER_QUERY
Someone hacked my Twitter account and changed my password,DPDP Act 2023,8,Data fiduciary obligations,"Ensure security, prevent breaches.",Financial penalties,cyber_hacking,CYBER_HACKING
Someone is stalking me online using WhatsApp,IT Rules 2021,Rule 3,Due diligence by intermediaries,Platforms must remove unlawful content.,,cyber_harassment,CYBER_HARASSMENT
My private pictures were leaked on Paytm,IT Act 2000,66D,Cheating by personation using computer resources,Online impersonation to cheat.,3 years jail + fine,cyber_fraud,CYBER_FRAUD
